category_value,category,locationdesc,location,year,avg_data_value
Adult,Age Group,Alaska,AK,2015,0
Adult,Age Group,Alaska,AK,2016,41.01
Adult,Age Group,Arizona,AZ,2014,4.12
Adult,Age Group,Arizona,AZ,2015,0
Adult,Age Group,Arizona,AZ,2016,46.71
Adult,Age Group,Arizona,AZ,2017,255.54
Adult,Age Group,Arizona,AZ,2018,362.7
Adult,Age Group,Arizona,AZ,2019,1.37
Adult,Age Group,Arkansas,AR,2015,0
Adult,Age Group,Arkansas,AR,2016,3.31
Adult,Age Group,Arkansas,AR,2018,3.31
Adult,Age Group,California,CA,2016,0.25
Adult,Age Group,Colorado,CO,2015,5.21
Adult,Age Group,Colorado,CO,2016,5.21
Adult,Age Group,Colorado,CO,2017,6.94
Adult,Age Group,Colorado,CO,2018,6.95
Adult,Age Group,Colorado,CO,2019,1.74
Adult,Age Group,Connecticut,CT,2016,39.27
Adult,Age Group,Connecticut,CT,2017,14.02
Adult,Age Group,Connecticut,CT,2018,5.61
Adult,Age Group,Connecticut,CT,2019,5.61
Adult,Age Group,Delaware,DE,2017,10.27
Adult,Age Group,Delaware,DE,2019,10.27
Adult,Age Group,Georgia,GA,2019,5.65
Adult,Age Group,Hawaii,HI,2015,7.06
Adult,Age Group,Hawaii,HI,2017,14.13
Adult,Age Group,Hawaii,HI,2019,7.06
Adult,Age Group,Illinois,IL,2017,0.79
Adult,Age Group,Indiana,IN,2014,115.86
Adult,Age Group,Indiana,IN,2015,0
Adult,Age Group,Indiana,IN,2016,2.97
Adult,Age Group,Indiana,IN,2018,0
Adult,Age Group,Indiana,IN,2019,1.49
Adult,Age Group,Kentucky,KY,2017,2.24
Adult,Age Group,Kentucky,KY,2018,4.48
Adult,Age Group,Kentucky,KY,2019,2.24
Adult,Age Group,Louisiana,LA,2015,10.75
Adult,Age Group,Louisiana,LA,2016,34.42
Adult,Age Group,Louisiana,LA,2017,126.91
Adult,Age Group,Louisiana,LA,2018,23.66
Adult,Age Group,Louisiana,LA,2019,19.36
Adult,Age Group,Maine,ME,2017,7.44
Adult,Age Group,Maine,ME,2018,29.76
Adult,Age Group,Maryland,MD,2015,28.12
Adult,Age Group,Maryland,MD,2016,28.12
Adult,Age Group,Maryland,MD,2017,56.24
Adult,Age Group,Maryland,MD,2018,23.15
Adult,Age Group,Maryland,MD,2019,19.85
Adult,Age Group,Massachusetts,MA,2015,2.9
Adult,Age Group,Massachusetts,MA,2016,2.9
Adult,Age Group,Massachusetts,MA,2017,11.61
Adult,Age Group,Massachusetts,MA,2018,8.71
Adult,Age Group,Massachusetts,MA,2019,10.15
Adult,Age Group,Michigan,MI,2015,0
Adult,Age Group,Michigan,MI,2016,1
Adult,Age Group,Michigan,MI,2018,3
Adult,Age Group,Michigan,MI,2019,36.05
Adult,Age Group,Minnesota,MN,2014,53.19
Adult,Age Group,Minnesota,MN,2015,131.21
Adult,Age Group,Minnesota,MN,2016,365.27
Adult,Age Group,Minnesota,MN,2017,267.75
Adult,Age Group,Minnesota,MN,2018,177.32
Adult,Age Group,Minnesota,MN,2019,212.78
Adult,Age Group,Mississippi,MS,2014,3.36
Adult,Age Group,Mississippi,MS,2015,0
Adult,Age Group,Mississippi,MS,2018,6.72
Adult,Age Group,Mississippi,MS,2019,6.72
Adult,Age Group,Missouri,MO,2014,29.32
Adult,Age Group,Missouri,MO,2015,11.41
Adult,Age Group,Missouri,MO,2016,17.92
Adult,Age Group,Missouri,MO,2017,22.81
Adult,Age Group,Missouri,MO,2018,6.52
Adult,Age Group,Missouri,MO,2019,13.04
Adult,Age Group,Montana,MT,2016,9.36
Adult,Age Group,Nebraska,NE,2015,0
Adult,Age Group,Nevada,NV,2015,97.39
Adult,Age Group,Nevada,NV,2016,126.62
Adult,Age Group,Nevada,NV,2017,133.11
Adult,Age Group,Nevada,NV,2018,97.39
Adult,Age Group,Nevada,NV,2019,100.64
Adult,Age Group,New Jersey,NJ,2019,27.02
Adult,Age Group,New Mexico,NM,2019,4.77
Adult,Age Group,North Dakota,ND,2015,13.12
Adult,Age Group,North Dakota,ND,2016,13.12
Adult,Age Group,North Dakota,ND,2017,13.12
Adult,Age Group,North Dakota,ND,2018,26.24
Adult,Age Group,Ohio,OH,2014,4.28
Adult,Age Group,Ohio,OH,2015,0
Adult,Age Group,Ohio,OH,2017,0.86
Adult,Age Group,Ohio,OH,2018,0.86
Adult,Age Group,Ohio,OH,2019,2.57
Adult,Age Group,Oklahoma,OK,2015,35.38
