category_value,category,locationdesc,location,year,avg_data_value
Adult,Age Group,Alaska,AK,2016,41
Male,Gender,Alaska,AK,2016,41
Black,Race,Alaska,AK,2016,28
White,Race,Alaska,AK,2016,14
AINA,Race,Alaska,AK,2016,0
Asian,Race,Alaska,AK,2016,0
Juvenile,Age Group,Alaska,AK,2016,0
Female,Gender,Alaska,AK,2016,0
NHOPI,Race,Alaska,AK,2016,0
Female,Gender,Alaska,AK,2015,0
Asian,Race,Alaska,AK,2015,0
Adult,Age Group,Alaska,AK,2015,0
Black,Race,Alaska,AK,2015,0
NHOPI,Race,Alaska,AK,2015,0
Male,Gender,Alaska,AK,2015,0
AINA,Race,Alaska,AK,2015,0
White,Race,Alaska,AK,2015,0
Hispanic,Ethnicity,Alaska,AK,2015,0
Not Hispanic,Ethnicity,Alaska,AK,2015,0
Juvenile,Age Group,Alaska,AK,2015,0
Not Hispanic,Ethnicity,Arkansas,AR,2018,4
Black,Race,Arkansas,AR,2018,4
Adult,Age Group,Arkansas,AR,2018,4
Female,Gender,Arkansas,AR,2018,4
Male,Gender,Arkansas,AR,2018,0
Hispanic,Ethnicity,Arkansas,AR,2018,0
Asian,Race,Arkansas,AR,2018,0
NHOPI,Race,Arkansas,AR,2018,0
Juvenile,Age Group,Arkansas,AR,2018,0
White,Race,Arkansas,AR,2018,0
AINA,Race,Arkansas,AR,2018,0
Male,Gender,Arkansas,AR,2016,4
Not Hispanic,Ethnicity,Arkansas,AR,2016,4
Black,Race,Arkansas,AR,2016,4
Adult,Age Group,Arkansas,AR,2016,4
Female,Gender,Arkansas,AR,2016,0
Juvenile,Age Group,Arkansas,AR,2016,0
NHOPI,Race,Arkansas,AR,2016,0
White,Race,Arkansas,AR,2016,0
AINA,Race,Arkansas,AR,2016,0
Hispanic,Ethnicity,Arkansas,AR,2016,0
Asian,Race,Arkansas,AR,2016,0
Not Hispanic,Ethnicity,Arkansas,AR,2015,0
Juvenile,Age Group,Arkansas,AR,2015,0
Asian,Race,Arkansas,AR,2015,0
Black,Race,Arkansas,AR,2015,0
Hispanic,Ethnicity,Arkansas,AR,2015,0
White,Race,Arkansas,AR,2015,0
Adult,Age Group,Arkansas,AR,2015,0
NHOPI,Race,Arkansas,AR,2015,0
Female,Gender,Arkansas,AR,2015,0
Male,Gender,Arkansas,AR,2015,0
AINA,Race,Arkansas,AR,2015,0
Male,Gender,Arizona,AZ,2019,2
Adult,Age Group,Arizona,AZ,2019,2
Hispanic,Ethnicity,Arizona,AZ,2019,2
Female,Gender,Arizona,AZ,2019,0
Juvenile,Age Group,Arizona,AZ,2019,0
Not Hispanic,Ethnicity,Arizona,AZ,2019,0
Adult,Age Group,Arizona,AZ,2018,363
Not Hispanic,Ethnicity,Arizona,AZ,2018,281
Female,Gender,Arizona,AZ,2018,267
White,Race,Arizona,AZ,2018,182
Black,Race,Arizona,AZ,2018,179
Male,Gender,Arizona,AZ,2018,98
Hispanic,Ethnicity,Arizona,AZ,2018,84
AINA,Race,Arizona,AZ,2018,3
Asian,Race,Arizona,AZ,2018,2
Juvenile,Age Group,Arizona,AZ,2018,2
NHOPI,Race,Arizona,AZ,2018,0
Adult,Age Group,Arizona,AZ,2017,257
Not Hispanic,Ethnicity,Arizona,AZ,2017,192
White,Race,Arizona,AZ,2017,184
Male,Gender,Arizona,AZ,2017,174
Female,Gender,Arizona,AZ,2017,83
Black,Race,Arizona,AZ,2017,66
Hispanic,Ethnicity,Arizona,AZ,2017,65
Asian,Race,Arizona,AZ,2017,6
AINA,Race,Arizona,AZ,2017,2
Juvenile,Age Group,Arizona,AZ,2017,0
NHOPI,Race,Arizona,AZ,2017,0
Adult,Age Group,Arizona,AZ,2016,47
White,Race,Arizona,AZ,2016,29
Male,Gender,Arizona,AZ,2016,28
Not Hispanic,Ethnicity,Arizona,AZ,2016,25
Hispanic,Ethnicity,Arizona,AZ,2016,22
Female,Gender,Arizona,AZ,2016,20
Black,Race,Arizona,AZ,2016,18
Asian,Race,Arizona,AZ,2016,0
Juvenile,Age Group,Arizona,AZ,2016,0
AINA,Race,Arizona,AZ,2016,0
NHOPI,Race,Arizona,AZ,2016,0
Black,Race,Arizona,AZ,2015,0
Asian,Race,Arizona,AZ,2015,0
AINA,Race,Arizona,AZ,2015,0
White,Race,Arizona,AZ,2015,0
Adult,Age Group,Arizona,AZ,2015,0
Not Hispanic,Ethnicity,Arizona,AZ,2015,0
Female,Gender,Arizona,AZ,2015,0
Juvenile,Age Group,Arizona,AZ,2015,0
NHOPI,Race,Arizona,AZ,2015,0
Male,Gender,Arizona,AZ,2015,0
Hispanic,Ethnicity,Arizona,AZ,2015,0
Male,Gender,Arizona,AZ,2014,5
Adult,Age Group,Arizona,AZ,2014,5
Not Hispanic,Ethnicity,Arizona,AZ,2014,5
White,Race,Arizona,AZ,2014,3
Black,Race,Arizona,AZ,2014,2
NHOPI,Race,Arizona,AZ,2014,0
Juvenile,Age Group,Arizona,AZ,2014,0
AINA,Race,Arizona,AZ,2014,0
Female,Gender,Arizona,AZ,2014,0
Hispanic,Ethnicity,Arizona,AZ,2014,0
Asian,Race,Arizona,AZ,2014,0
AINA,Race,California,CA,2016,1
Male,Gender,California,CA,2016,1
Adult,Age Group,California,CA,2016,1
Not Hispanic,Ethnicity,California,CA,2016,1
NHOPI,Race,California,CA,2016,0
White,Race,California,CA,2016,0
